Mariya Paseka,Russia,2012,Gymnastics,0,1,1,2
Alexandra Eremia,Romania,2004,Gymnastics,1,0,1,2
Monica Rosu,Romania,2004,Gymnastics,2,0,0,2
Hu Jia,China,2000,Diving,0,2,0,2
Yun Mi-Jin,South Korea,2000,Archery,2,0,0,2
Long Qingquan,China,2008,Weightlifting,1,0,0,1
Zarema Kasayeva,Russia,2004,Weightlifting,0,0,1,1
Cheryl Haworth,United States,2000,Weightlifting,0,0,1,1
Zhang Xiangxiang,China,2000,Weightlifting,0,0,1,1
Buttree Puedpong,Thailand,2008,Taekwondo,0,1,0,1
Chen Zhong,China,2000,Taekwondo,1,0,0,1
Chi Shu-Ju,Chinese Taipei,2000,Taekwondo,0,0,1,1
Charlotte Bonnet,France,2012,Swimming,0,0,1,1
Kosuke Hagino,Japan,2012,Swimming,0,0,1,1
Hao Yun,China,2012,Swimming,0,0,1,1
Lia Neal,United States,2012,Swimming,0,0,1,1
Ranomi Kromowidjojo,Netherlands,2008,Swimming,1,0,0,1
Xu Tianlongzi,China,2008,Swimming,0,0,1,1
Zhao Jing,China,2008,Swimming,0,0,1,1
Zhu Qianwei,China,2008,Swimming,0,1,0,1
Rhi Jeffrey,United States,2004,Swimming,1,0,0,1
Jess Schipper,Australia,2004,Swimming,1,0,0,1
Chantal Groot,Netherlands,2000,Swimming,0,1,0,1
Aaron Peirsol,United States,2000,Swimming,0,1,0,1
Kaitlin Sandeno,United States,2000,Swimming,0,0,1,1
Gang Cho-Hyeon,South Korea,2000,Shooting,0,1,0,1
Kseniya Dudkina,Russia,2012,Rhythmic Gymnastics,1,0,0,1
Nataliya Leshchik,Belarus,2012,Rhythmic Gymnastics,0,1,0,1
Alina Makarenko,Russia,2012,Rhythmic Gymnastics,1,0,0,1
Aleksandra Narkevich,Belarus,2012,Rhythmic Gymnastics,0,1,0,1
Karolina Sevastyanova,Russia,2012,Rhythmic Gymnastics,1,0,0,1
Darya Shkurikhina,Russia,2008,Rhythmic Gymnastics,1,0,0,1
Zornitsa Marinova,Bulgaria,2004,Rhythmic Gymnastics,0,0,1,1
Galina Tancheva,Bulgaria,2004,Rhythmic Gymnastics,0,0,1,1
Vladislava Tancheva,Bulgaria,2004,Rhythmic Gymnastics,0,0,1,1
Eirini A?ndili,Greece,2000,Rhythmic Gymnastics,0,0,1,1
Tatyana Belan,Belarus,2000,Rhythmic Gymnastics,0,1,0,1
Alina Kabayeva,Russia,2000,Rhythmic Gymnastics,0,0,1,1
Zara Karyami,Greece,2000,Rhythmic Gymnastics,0,0,1,1
Eva Khristodoulou,Greece,2000,Rhythmic Gymnastics,0,0,1,1
Mariya Netesova,Russia,2000,Rhythmic Gymnastics,1,0,0,1
Olga Puzhevich,Belarus,2000,Rhythmic Gymnastics,0,1,0,1
Anssi Koivuranta,Finland,2006,Nordic Combined,0,0,1,1
Ilias Iliadis,Greece,2004,Judo,1,0,0,1
Jenni Asserholt,Sweden,2006,Ice Hockey,0,1,0,1
Danijela Rundqvist,Sweden,2002,Ice Hockey,0,0,1,1
Evelina Samuelsson,Sweden,2002,Ice Hockey,0,0,1,1
